"","C. cyanellus","C. Glaphyrocanthon","C. juvencus","C. septemmaculatus","C. subhyalinus","Dichotomius","Eurysternus","Ontherus"
"C. cyanellus",26,0,0,2,1,0,0,0
"C. Glaphyrocanthon",0,25,5,0,0,0,0,0
"C. juvencus",0,6,23,0,1,0,0,0
"C. septemmaculatus",0,0,0,30,0,0,0,0
"C. subhyalinus",1,4,1,0,24,0,0,0
"Dichotomius",0,0,0,0,0,30,0,0
"Eurysternus",0,0,0,1,1,0,28,0
"Ontherus",0,0,0,0,0,0,0,30
