"","Df","SS","MS","Rsq","F","Z","Pr(>SS)"
"size",1,0.553933926261749,0.553933926261749,0.12261526094125,114.261070531388,4.73334016426089,0.001
"groups",7,2.79995305232893,0.399993293189847,0.619779648543017,82.5074250166977,10.0736283479596,0.001
"size:groups",7,0.082675239204093,0.0118107484577276,0.0183004606646894,2.43622695519666,3.56000839201871,0.002
"Residuals",223,1.08109669357978,0.00484796723578377,0.239304629851051,NA,NA,NA
"Total",238,4.51765891137453,NA,NA,NA,NA,NA
