"","PC1","PC2","PC3","PC4"
"Standard deviation",1.35416764423425,0.241421407276732,0.110922483548313,0.049346873037474
"Proportion of Variance",0.9617,0.03057,0.00645,0.00128
"Cumulative Proportion",0.9617,0.99227,0.99872,1
