"","PC1","PC2","PC3","PC4"
"C..cyanellus.21",-1.12984500166526,-0.0454736823421973,0.0533266276362847,0.0205311796602211
"C..cyanellus.22",0.0820756783283217,-0.166837051003779,0.0173409556735615,0.00307799851431977
"C..cyanellus.23",-0.00176054194986812,-0.261441938784973,0.0493594294064466,0.0266134874395802
"C..cyanellus.24",-0.103420166074664,-0.219441092235212,0.0321227924684838,0.0287429276781125
"C..cyanellus.25",0.487720058354993,-0.298421850582958,0.0511518508617131,-0.00196883383762883
"C..cyanellus.26",0.220945674300078,-0.211034401057566,0.0615697430090914,0.0534163911441356
"C..cyanellus.27",0.179080406635294,-0.223171135200388,0.0842184008118886,0.0773558453738365
"C..cyanellus.28",0.152131499996534,-0.264843692285009,-0.0241106225818834,-0.0042708409848027
"C..Glaphyrocanthon",0.17049405493608,0.0207031671340536,0.0330586616567136,-0.0134316604231891
"C..Glaphyrocanthon.1",0.798548556540529,0.0587313860138648,0.101930611361317,0.0259429384292855
"C..Glaphyrocanthon.2",0.628075974777267,0.0698104774549413,0.124853701536432,-0.0362994879918295
"C..Glaphyrocanthon.3",0.808342976125853,0.0755599997812565,0.0710335069875102,0.0299821309882064
"C..Glaphyrocanthon.4",0.381987553176005,-0.0282558231850939,0.0710554223679602,-0.0332745603884047
"C..Glaphyrocanthon.5",0.928590852041656,0.0303215465532115,-0.0565058009112247,-0.0460340623000747
"C..Glaphyrocanthon.6",0.265562161479612,0.0455142755462732,0.0426455239599069,-0.0220572253703216
"C..Glaphyrocanthon.7",0.903515899179831,0.0712470579854728,0.0524887609315247,0.00419780769969816
"C..Glaphyrocanthon.8",0.61663062241619,0.0575469429544834,0.0126389373675567,0.024674371490966
"C..Glaphyrocanthon.9",0.844623697571915,0.163825496286116,-0.0407016354885365,-0.0142061187048814
"C..Glaphyrocanthon.10",0.493357265338274,0.0397682019266184,-0.0665362767549436,-0.0666775785584385
"C..Glaphyrocanthon.11",0.0591664129118162,-0.053436962947317,-0.00612450070007578,-0.0242812483035425
"C..Glaphyrocanthon.12",0.356626038086681,-0.0381540512227749,0.00131407641987899,-0.0609553830546593
"C..Glaphyrocanthon.13",0.203076009475842,-0.0151076994819476,0.0591932407103572,0.00211757999924356
"C..Glaphyrocanthon.14",0.339943689481276,-0.00157412234759591,0.0472143704979623,-0.0981968696074541
"C..Glaphyrocanthon.15",0.800303223585611,0.112209936515696,0.0533469109812552,-0.00396553911859523
"C..Glaphyrocanthon.16",0.730431682426398,0.00791919118201109,-0.0237331837691564,-0.0121618071851783
"C..Glaphyrocanthon.17",1.01991190583634,0.0474232547550547,0.036600199733419,-0.0397642804071089
"C..Glaphyrocanthon.18",0.461893841284395,-0.0257625412701861,-0.0124306573602403,0.00506099752363653
"C..Glaphyrocanthon.19",0.38765226781073,0.00338070683578598,-0.00954590785260072,-0.017965737382333
"C..Glaphyrocanthon.20",0.537574661818133,-0.0071896473367746,0.00221384116014063,-0.0241197200640024
"C..Glaphyrocanthon.21",0.822213418332197,0.0875754426038342,0.0543403657268919,-0.00943149148763547
"C..Glaphyrocanthon.22",0.590050836077976,0.0282574041180273,-0.0530819337537827,0.000185485214016984
"C..Glaphyrocanthon.23",0.564521029664192,-0.0518708875709559,0.0335005868116041,0.00974148938407457
"C..Glaphyrocanthon.24",0.336650326820501,0.0208502054447892,0.0175587124140513,0.0482913186321868
"C..Glaphyrocanthon.25",0.754916654184462,-0.021341574896332,-0.0198037619413873,0.0143835091692892
"C..Glaphyrocanthon.26",0.42125356938152,0.0636143589861433,-0.0377394052132014,0.0131568939733002
"C..Glaphyrocanthon.27",0.371228645350604,0.0303413662878395,-0.01822917355164,-0.055195665572953
"C..Glaphyrocanthon.28",0.497248583104243,-0.0525966691109635,-0.0420963063994476,-0.0502403470630221
"C..Glaphyrocanthon.29",0.454794455971633,0.102910844342023,0.0154160410168957,-0.000883110118829966
"C..subhyalinus",-0.595300102257642,-0.146903569165833,0.0862060308793466,0.0448214272382421
"C..subhyalinus.1",-0.646375919063395,-0.186005096772645,0.078371277203112,0.0142712097939802
"C..subhyalinus.2",-0.880034997458734,-0.16790841510235,0.0842662486274529,0.0394602141588671
"C..subhyalinus.3",-0.67157743195987,-0.161082926722639,0.139237901687351,0.0897678649099394
"C..subhyalinus.4",-0.794568177526392,-0.13463047557017,0.0833273644302781,0.030566824282569
"C..subhyalinus.5",-0.752746652165088,-0.223555198124001,0.0895621683860165,0.0244646695762252
"C..subhyalinus.6",-0.931012446802569,-0.172667385811344,0.0948178081529274,0.0178835520345208
"C..subhyalinus.7",-0.801583837705798,-0.195904656317851,0.112768868370994,0.0459542215716099
"C..subhyalinus.8",-0.49843801217575,-0.142581523711871,0.100536563752433,0.0440136030028879
"C..subhyalinus.9",-0.460933826608058,-0.109552461979205,0.114557235679806,0.0347603154271011
"C..subhyalinus.10",-0.673877320483622,-0.14408204594036,0.082143191167992,0.026823099523134
"C..subhyalinus.11",-0.260302353073459,-0.097290492284937,0.0940728947136377,0.0154012338339338
"C..subhyalinus.12",-0.642473326915736,-0.143559725936959,0.106837515815808,0.0471720367692786
"C..subhyalinus.13",-0.47118976288988,-0.142918548344772,0.12582525927711,0.0878720228686864
"C..subhyalinus.14",-0.425619619521379,-0.0909464483485101,0.110488051509235,0.0628169280939889
"C..subhyalinus.15",-1.09051423859707,-0.136173140056996,0.0659689989107859,0.0482632998659296
"C..subhyalinus.16",-0.908484718360565,-0.127349129281029,0.0609343370654303,0.0456697089941515
"C..subhyalinus.17",-0.840878109960531,-0.205354363677778,0.0823702606339901,0.0314354552758725
"C..subhyalinus.18",-0.315536346484455,-0.174379979597705,0.116356932549924,0.0705168042815219
"C..subhyalinus.19",-0.502973564712199,-0.112490945069455,0.0853333846985453,0.0211348972001801
"C..subhyalinus.20",-0.627072841280464,-0.15415197257308,0.0946465279967173,0.0714759499209542
"C..subhyalinus.21",-0.380151445289907,-0.159113366254143,0.0546855137877919,0.0691652036439684
"C..subhyalinus.22",-0.61324425402029,-0.156895173394738,0.129376640913379,0.0587767343234878
"C..subhyalinus.23",-0.764494993039938,-0.179567421150871,0.0947775573748878,0.0262035362153253
"C..subhyalinus.24",-0.578108097650833,-0.095807941600797,0.0648378446835244,0.0655041100961705
"C..subhyalinus.25",-0.645602864456276,-0.101691977954612,0.13496027811823,0.0428457043240704
"C..subhyalinus.26",-0.498484363093952,-0.119369876799638,0.08753560146995,0.0601265534346157
"C..subhyalinus.27",-0.627848220590762,-0.153370191006339,0.0898412646223459,0.0522289290480048
"C..subhyalinus.28",-0.539844162026936,-0.171486374833859,0.0349795606483262,-0.012080461745692
"C..subhyalinus.29",-0.649515720721343,-0.142025485456262,0.117081977055926,0.0377474741497529
"Dichotomius",0.55914860868482,0.502090152892529,0.106450076478521,-0.024322486578769
