"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"20191211_MJ_A009_cabe_14_47_29_0006",-0.0457639740012401,-0.00154210036285465,0.00581312571254244,0.00757202310353372,-0.00160650719158433,-0.00681964128613584,0.00155865881730659,0.00348633507948251,0.00605990892438865,-0.00291173055102952,-0.00539961795361874,0.00302304644901329,-0.00416005487260071,0.00580409232987073,0.000548833341069134,0.000786280411473628,0.00184775898662673,-0.000232990203487925,0.00215029322459726,-0.00271991847164182,-0.00206651660378132,-0.00192943113363208,-0.0042920735027446,0.00130001301672531,0.00139371423352149,-0.000473902041993449,-0.000522259980960046,-0.000386400447470993,0.000936152105230044,-0.00280667791851998,-9.81735749686083e-06,0.000804774922927113,-0.000122060488134125,-0.000268038609345797,3.63845784227017e-05,0.000259866041521536
"20191211_MJ_A009_cabe_14_47_29_0008",-0.0419734363117876,0.00692871296307904,0.0174756886414354,0.0188420739991233,0.00206754670833578,0.00494095888020398,0.0122604627986415,0.00914521890034407,0.00923612626211431,0.00453440575161626,-0.0038703849791971,-0.0108366994342498,0.00149632820665224,0.00120745155660416,0.00334658330509189,0.00130823538527709,0.0028479157540115,0.00428917259281978,0.00122952018515699,-0.00041620914382969,3.09465874245259e-05,0.00349524877889205,0.00163650250298329,0.00108605283957331,-0.000842406209745317,-0.000976879837917332,-0.00140201628500136,0.00311915994320235,0.00236066063617139,-0.00268932847955371,-0.000272601085618971,-0.000550218765726357,-0.000548827187452611,-0.000199729859705128,0.000313616298712227,0.000100765492818487
"20191211_MJ_A010_cabe_15_11_21_0002",-0.048434444204832,0.0100763434255242,0.0031577727597461,0.0127388031146278,0.00291630216133309,-0.00564534002440672,0.00786800563806382,0.00220192269101202,0.0044511442674718,-0.00233512891683753,-0.00260218106707277,0.00181338065566224,6.07335937223148e-05,0.00238056753571944,0.00137626341117008,-0.000861318514595423,0.0020009810855981,-0.00820032809107587,0.000925371879494035,0.00306787118655547,0.00339390102930341,0.000170565425281949,0.00304563627452266,0.00176804667623522,-0.00414896613734528,-0.00331722261616888,0.00299152434009677,-0.000794674016047511,-0.000783247822387277,0.00151786183349207,-0.0015196677982869,-0.000477559459138319,-0.000169162171198033,-0.000445187394442977,0.000252962474507631,0.00051573274092121
"20191211_MJ_A010_cabe_15_11_21_0004",-0.0484553067018881,0.0172254957419489,0.0147055652951197,0.0214623302112687,-0.00955630842725451,-0.0131026771803985,0.00678890549657173,0.0137656959987958,0.00827169321667707,0.00591403275159159,-0.00106638060688907,-0.000540482500423223,-0.000325968417007661,-0.00570196227096393,-0.00408509564161728,0.00118231237954252,-0.00104668462835493,-0.00376497563572133,-0.00104425228906237,-0.00156152638088844,-0.00228463957106366,0.00172548912136506,-0.00153395592596762,0.00475815551963394,-5.83216277300708e-05,-0.0011335869789621,0.000849738285063263,0.00351794876649458,-0.000171913110581659,0.00132080004218481,-6.11771326667299e-05,0.000303564623735298,-0.000307580392616583,0.000305471078343907,-0.000437170623413805,7.40920121685735e-05
"20191211_MJ_A010_cabe_15_11_21_0006",-0.0393327833418091,0.0278537869185537,0.0197724286369541,0.0175208545968102,0.00547798330895112,-0.0125289553326266,0.0035469136312454,0.0185185097717747,0.00248236920469583,0.00535321461482487,-0.011343592925793,-0.00584451108623692,-0.00669695646841478,0.00582844716576122,0.000953183826770032,0.00287848355807515,-0.00306628121982059,-0.000314816978435795,-0.00150039691163758,0.00433099565684454,-0.00161324780431485,-0.000508030643378219,0.00034716570683081,-0.000388523833601891,-0.00408879737657216,0.00373501837132548,0.00120327194602743,0.00366497452346092,0.00343600173235056,0.0030717470063531,-0.00111106665923849,-0.000210219036758276,0.000461106353044414,0.000544268159428968,0.000388411159670601,0.000184100821017302
"20191211_MJ_A010_cabe_15_11_21_0008",-0.0472506367630022,0.00910036074172441,0.00812364832923228,0.00418176706356804,-0.00565086650237421,0.00277421941407313,0.0081213841075149,0.00963774866567313,0.0090799510493313,-0.00277364399746219,-0.00332727570835909,0.00488145337289946,-0.000406183924654985,0.00389401374510631,-0.00143256185184914,0.00221669502135842,0.0122086468361932,0.0061721808684438,0.00333192306441999,-0.00145762343988973,9.37179065298302e-05,0.00242949268720851,0.000928812425578383,0.000358918961669986,-0.000287700535258569,-0.000257419162920321,0.000283998350617828,-0.00296555586361365,0.00113432678678202,-0.00201721293434979,0.000978716142069321,-1.99515595008833e-05,-0.000106181849079995,0.000201058994041929,-3.44109895018482e-05,0.000682131772709332
"20191211_MJ_A010_cabe_15_11_21_0010",-0.0531220125147208,0.017455409722117,0.00196883765369811,0.0135958370760545,-0.00110157451756031,-0.00654231276621866,0.0053012568014521,0.00825376401179806,0.00984640196701713,0.000125777030808799,0.000338478424528645,-0.00365214503410025,-0.00297297704248889,0.0129747845031989,-0.00129946567544519,0.00363026490766718,-0.00174102847315554,-0.00637361579532631,0.00174812397337801,-0.00333333243629971,-0.00188610488932224,0.00261845709015441,0.00291525714799159,0.00111232766031696,0.00130657074584787,-0.00076446141465325,-0.00175973164830359,0.000475949413070821,-0.00150941198578662,-0.0012152815030899,0.00046714432919094,0.000189396920391381,-0.000873627356562795,-0.000247993502004786,7.53264593807465e-05,-3.65105533072104e-05
"20191211_MJ_A010_cabe_15_11_21_0012",-0.0398988971907315,-0.00271067089321479,0.0106489998676851,0.0164090474696488,0.00299578360223998,-0.00898427494575332,0.00172123957667391,-0.000363964706741298,0.00938348857616087,-0.000591179388467344,-0.00322452587111045,-0.00507551261283782,-0.00931983147311344,0.000788294812110281,0.00179807149324944,-0.00343452127880016,-0.0049979337852133,-0.00734391613924104,-0.00113004943319123,-0.00401348588923853,-0.00790352333318838,-0.00331353635341766,-0.00411611510889653,0.00447219886219171,0.00489221437432541,0.00180765211483538,0.00123639476218445,-0.000705670296088373,0.00465134285509027,0.00193113923524307,-0.000204418791154222,-0.00125142855417983,-2.22486564112768e-05,-0.000121567200581069,-0.000164893132146729,0.000294360643361723
"20191211_MJ_A010_cabe_15_11_21_0014",-0.0299396866973406,0.0171223015981029,0.0143422055581664,0.0122943175110926,-0.00166319296493549,-0.00714471524048055,0.00907336771650424,-0.0010788368266676,0.00839438506495003,-0.00176742326968854,0.00278547397835843,-0.010380319783386,-0.00123740639922103,0.00295078670823754,0.00623295163383775,-0.00146658282057705,-3.73804747458572e-05,-0.000608864523975789,0.000778621172454135,0.000734383746668427,-0.000460611041022056,-0.000374410958089412,-0.00231279572438236,-0.00236875785514838,0.00162117091490051,0.00198635042957115,0.00105618921864817,0.00308736425503212,0.000429607324879518,-0.00210581100494644,-0.00193984904729407,-0.000865862359503814,0.000203292805830976,0.000456590181222753,1.10421263564072e-05,-0.000121863451907576
"20191211_MJ_A010_cabe_15_11_21_0016",-0.0487342142625647,0.00776074913572563,0.00998558144724536,0.00658243427890475,0.00927928047199921,-0.00831223890258998,0.0110695224505652,-0.00905703834734585,0.0136551404223822,0.00511209829022564,0.000495424621314435,0.00391929781595481,-0.00505635960453327,-0.00273943274131019,0.00392511283132313,0.000877953662605551,0.00301215488413351,0.00141330390598807,-3.0808096569466e-05,0.00115154424962959,0.00310339664029311,0.00335333628575238,0.00149328234775312,-0.00354338344765032,-0.00045807082278619,-0.00132067718012482,0.00142079435270109,-0.00305092016164478,-0.000607938184308009,-0.000479006852917659,-0.00151540840400264,-0.00108411823051841,0.000722740776192458,3.54416223357326e-05,-0.000381115316160723,-0.000250296229150242
"20191211_MJ_A_cabe_15_42_01_0002",-0.0400329254487571,0.0184479034123502,0.0222927010191892,0.0123978498416439,-0.0112770933668213,-0.0159838132372669,0.0107772926468948,0.00462099798217522,0.00436733773963161,0.002436817573723,-0.00105171944548254,-0.017196279730249,0.0134035216178978,-0.00120885061580452,0.000888137776235926,-0.00196094157586596,-0.00333262814113682,-0.00559426296011496,0.00607759971191003,0.00139463114071251,-0.000356164147386091,-0.00130264141679139,-0.00364995314698491,0.000676202175459497,0.00597234604553498,0.000436233063645622,0.00256570060779286,0.00078362113129296,0.00157929547370916,-0.00185217060170181,0.00100920588675454,0.000270755302730976,0.00250503632076861,-0.000859954544429843,-0.00100002758253646,-0.0004653612649167
"20191211_MJ_A_cabe_15_42_01_0004",-0.0417087869446505,0.0132843143057293,0.0185402682502311,0.00715997291982113,-0.00378473782092965,0.00187887733459301,-0.00773628060792409,0.0170087095402314,0.0018539311924075,-0.0120726620455148,0.00533835864864099,0.00435028072788999,-0.00197169529737939,-0.00314676075706219,-0.00596962740474181,0.00349064612294195,0.00405036751772403,-0.00667653703767728,0.00314348123556221,0.000696225724229639,-0.000391727786687287,0.000235650380096616,0.00550336890727027,-0.00146383768915756,0.00285341219692649,0.00123406796109946,-0.000508254469091288,0.00139853682709527,-0.000958420637274228,0.000624509916691342,0.000179533728265974,-0.000280481807579529,-0.000885829353781115,0.000127896340277879,-0.000470216019110147,6.36735153423023e-06
"20191211_MJ_A_cabe_15_42_01_0006",-0.0363657689944797,0.0213631970359335,0.01897279171514,0.0177144029759988,3.36089256861477e-05,-0.0156099132284237,0.00903121389432931,-0.00456822963628785,0.0130680900675817,-0.00155712035538946,0.00818624619448151,-0.0100862904228653,-0.000220958442184366,-0.00955502115905426,0.00101157012368402,0.0116737894873163,-0.00138157479387084,0.00412805123175923,0.00259574812870961,-0.00488611365114256,-0.00162027426036682,0.00128355072593102,-0.00439395196393703,-0.000379468531535421,0.00378645264673963,-0.00520664268858037,-0.000268266958652685,0.000594244208458709,-0.000514550412108571,-0.000406468918447903,-0.000586251263166702,0.000628849886732815,0.000680650280323757,-0.000425254724966074,-0.000170652240976587,-0.000153560297525581
"20191211_MJ_A_cabe_15_42_01_0008",-0.0413339665406883,0.015942278322175,0.00202466341829845,0.0118465802187514,-0.013094188134161,-0.00490991459818736,-0.00352401878798335,-0.000404017788424344,0.0153727241194474,-0.00221867411500338,0.0056314802968042,0.00520863242424018,-0.00462654234225531,0.00535779892678466,0.00172015065026084,-0.000536227727393107,-0.00216398240843337,0.00258958312012348,0.00521230114765607,-0.00490485629171945,-0.00142958144233293,-0.00172475121073019,-0.0033120272219402,-0.00496668681188404,-0.000645269137554778,0.00152523995790194,0.00116117298995028,-0.000966828650636582,-0.00265054456418368,0.000316574057636852,0.00177846027708691,0.00167088966772911,0.000226595568147234,-0.000414965636214167,-0.000267785063537588,-3.34620819206919e-05
"20191211_MJ_A_cabe_15_42_01_0010",-0.0470933666795225,0.0247359971228111,0.00554390457673166,0.0108975567368693,3.42578026374743e-06,-0.0194620075393905,0.0144377117364238,0.0190295272170157,-0.00175217367662343,0.00897876008179793,-0.00244361132121375,0.00573202880166656,0.00184670773585087,-0.00453864867377188,0.011708653000206,-0.0051264504295406,0.011675480339053,-0.0053772516278514,-0.0062213140048753,0.00114460473758264,0.00235475970379567,0.000604997833754499,-0.000238884660497289,0.000116694572228073,-0.001293775501394,0.00096350670177316,-0.00114635000200729,-0.00390476752341557,0.000587677528712544,-0.00167092782353645,0.000401688670454442,0.00125692250413983,-0.001244860465844,0.000271472498489167,0.000964527243723451,3.98702921638274e-05
"20191211_MJ_A_cabe_15_42_01_0012",-0.0501631200723094,0.00436680610296217,0.0119407095107899,0.0172318933095186,0.00728173763275582,-0.00458340061276442,0.00440468557674643,0.0110201913429506,0.0114445980792821,0.0043695203610331,-0.00768533644328006,0.000525978922428709,-0.00403543988647815,-0.00354029844727287,-0.00626498314592392,-0.00148630985219102,0.00538198759179987,0.00209190805332773,-0.00619537851748693,0.000708977401405671,0.00547415722321346,0.00259129828338769,-0.00235361329885467,0.00308072867572348,-0.0011352656086266,0.00388840527714348,0.00145138710137451,-0.00178259382171048,-0.00355873350228437,0.0031289746247289,-0.000891717555279847,-0.00127767644183523,0.00065742551295236,0.000237360994004424,-0.000863541249413601,0.000130312650077473
"20191211_MJ_B_cabe_16_23_47_0002",-0.0426721294084998,-0.00498644052841397,0.00377104454983848,0.0106886842747681,0.00230888496255239,0.0265117309307836,0.0112707562955725,0.000320566729104843,0.00685510169966902,-0.00297221427130212,0.00708628611333629,0.00400241965821504,0.00964217470050544,0.00072965957874007,-0.0073647838435626,0.000249401815240203,-0.0056941958882898,-0.00649155620275349,0.0115740025495614,0.00180212990450961,0.00321752743590705,-0.00178318740685933,-0.000728872275586186,0.00318375495041959,0.0029854618839076,0.00158026061653058,0.000118242028606339,-0.00266328232122516,0.00125219375161649,-0.000294551616224688,0.000539742384673128,-0.00132913606752167,-0.000502501512506786,8.03085929977342e-05,0.000177151247185168,-6.86712672303171e-05
"20191211_MJ_B_cabe_16_23_47_0004",-0.0490103710856829,0.0130277207741314,0.0114573540516379,0.0093940832190971,-0.005690421922415,-0.00678544263030363,0.0026128795041321,0.00474585302373642,0.0150442736169919,-0.00174714068586413,0.00598746734240242,0.0134492265562569,-0.000679786623063258,0.00429653501238405,-0.00448861924782618,-0.00109682058806754,0.00783808071724425,-0.00262266097360586,0.000371804374468578,-0.00298477952825874,0.00311524917175722,-0.000770451246539226,-0.00090841232226767,-0.0029465077642592,-0.00167465325202283,0.000301040396721674,-0.0063070142549006,0.000604193696556492,-0.00100104270343808,-0.0035146157130843,0.00117799664413313,0.000552927022418817,0.000809416671625221,-0.000989569567086478,-0.000147454841116532,-2.08917079466298e-05
"20191211_MJ_B_cabe_16_23_47_0006",-0.050979640093031,0.0194914050675466,0.000277706535977118,0.0216505194605954,-0.0075568531752572,-0.00363332029375399,0.0175888553286215,0.00668778962533426,0.0153418605296784,-0.00196262548340656,0.00299329595200774,-0.000941458327904062,-0.000301285937741344,0.00100525214128858,0.00250712568824609,-5.85024441506083e-05,0.00283140764639831,-0.00267554339412373,-0.000990808256104081,0.0032078644152355,0.00116707257039133,-0.000321971609635368,-0.000617711551206797,0.0020733065889765,-0.00266788824572772,-0.00136293882017383,-0.00285566706314314,-0.00481637631466946,0.00204043029140866,0.00245556561164511,0.000352222412742153,-0.000215093375443432,0.000837703374303985,0.000288086501423761,0.000268842993826562,-0.000893968468011799
"20191211_MJ_B_cabe_16_23_47_0008",-0.0430831190432737,0.0272414003690909,0.00907787825299248,0.0160776381211761,-0.0149203367972547,-0.0133468585372948,0.00763149868582098,0.0114058730198661,-0.00231873848534208,0.000832629150406384,-0.0147135266827736,0.00286151052179486,0.0118118848329418,0.00549285885278828,-0.00511087617470216,0.00507030311942844,-0.0023254567414339,0.0010230491514478,-0.00902742479316273,-0.00951765669189914,-0.0102111287265675,0.00221416603515062,0.00502851793380772,-0.00196164240641922,0.00529617873303734,-0.000945018886556498,0.00529287355666326,-0.00305464654255575,-0.00525231579539263,-0.00040022640128057,-0.000551274055690135,-0.00139342557098215,-0.000544657463185554,3.10041614925132e-05,0.000221752334415703,6.59286416854706e-05
"20191211_MJ_B_cabe_16_23_47_0010",-0.0514847562535364,-0.00270597134579747,0.00167232619006959,-0.00010857453212471,-0.00241792081370187,0.0117967788562934,0.0119388489155865,0.00584996229657001,0.00488143354150489,-0.00778237716621818,0.00740564418826628,-0.00684789958345042,-0.00470726319793409,0.0179605289529157,0.00355818869989508,-0.0172151673700007,-0.0115918067140475,0.00198243159509316,-0.00285108339006326,0.00727801927024602,0.000356422565863221,0.00251582999280779,0.00238842667935227,-0.00390883028975571,-0.000937802563107518,0.00194721163203106,0.000575469434491806,-0.00437798606970658,-0.00144016547924799,0.0010676006836051,0.00177976625946894,-0.00112326682352198,-0.000109395271182349,0.000553761074075254,-8.82995988334247e-05,-0.000218704092884507
