"","Df","SS","MS","Rsq","F","Z","Pr(>SS)"
"size",1,0.0706571814046129,0.0706571814046129,0.0491420467668011,78.334740980871,3.74771538836609,0.001
"groups",7,1.15126003569432,0.164465719384903,0.800700981700155,182.336448640304,11.1703365899608,0.001
"size:groups",7,0.014754124035079,0.00210773200501129,0.0102614884845619,2.3367566804596,5.13819806376674,0.001
"Residuals",223,0.20114385081169,0.000901990362384258,0.139895483048482,NA,NA,NA
"Total",238,1.4378151919457,NA,NA,NA,NA,NA
